Week Ending,Price
2006 Nov 24,7.59
2006 Dec 01,7.93
2006 Dec 08,7.51
2006 Dec 15,7.01
2006 Dec 22,6.26
2006 Dec 29,5.60
2007 Jan 05,5.50
2007 Jan 12,6.13
2007 Jan 19,6.52
2007 Jan 26,7.29
2007 Feb 02,7.71
2007 Feb 09,8.31
2007 Feb 16,8.43
2007 Feb 23,7.46
2007 Mar 02,7.34
2007 Mar 09,7.32
2007 Mar 16,6.86
2007 Mar 23,6.91
2007 Mar 30,7.32
2007 Apr 06,7.55
2007 Apr 13,7.83
2007 Apr 20,7.51
2007 Apr 27,7.48
2007 May 04,7.68
2007 May 11,7.56
2007 May 18,7.74
2007 May 25,7.56
2007 Jun 01,7.65
2007 Jun 08,7.76
2007 Jun 15,7.51
2007 Jun 22,7.36
2007 Jun 29,6.71
2007 Jul 06,6.27
2007 Jul 13,6.40
2007 Jul 20,6.37
2007 Jul 27,5.76
2007 Aug 03,6.30
2007 Aug 10,6.35
2007 Aug 17,7.08
2007 Aug 24,5.93
2007 Aug 31,5.51
2007 Sep 07,5.66
2007 Sep 14,6.03
2007 Sep 21,6.21
2007 Sep 28,6.33
2007 Oct 05,6.65
2007 Oct 12,6.68
2007 Oct 19,7.10
2007 Oct 26,6.39
2007 Nov 02,6.93
2007 Nov 09,6.95
2007 Nov 16,7.19
2007 Nov 23,6.88
2007 Nov 30,7.44
2007 Dec 07,7.12
2007 Dec 14,7.17
2007 Dec 21,7.12
2007 Dec 28,6.97
2008 Jan 04,7.57
2008 Jan 11,7.84
2008 Jan 18,8.33
2008 Jan 25,7.87
2008 Feb 01,8.02
2008 Feb 08,7.87
2008 Feb 15,8.47
2008 Feb 22,8.89
2008 Feb 29,9.16
2008 Mar 07,9.43
2008 Mar 14,9.74
2008 Mar 21,9.09
2008 Mar 28,9.24
2008 Apr 04,9.68
2008 Apr 11,9.88
2008 Apr 18,10.13
2008 Apr 25,10.54
2008 May 02,10.75
2008 May 09,11.11
2008 May 16,11.36
2008 May 23,11.31
2008 May 30,11.67
2008 Jun 06,12.29
2008 Jun 13,12.59
2008 Jun 20,12.88
2008 Jun 27,12.89
2008 Jul 04,13.20
2008 Jul 11,12.30
2008 Jul 18,11.30
2008 Jul 25,9.93
2008 Aug 01,9.15
2008 Aug 08,8.71
2008 Aug 15,8.10
2008 Aug 22,7.90
2008 Aug 29,8.16
2008 Sep 05,7.54
2008 Sep 12,7.69
2008 Sep 19,7.91
2008 Sep 26,7.74
2008 Oct 03,7.30
2008 Oct 10,6.68
2008 Oct 17,6.68
2008 Oct 24,6.75
2008 Oct 31,6.44
2008 Nov 07,6.76
2008 Nov 14,6.68
2008 Nov 21,6.67
2008 Nov 28,6.61
2008 Dec 05,6.44
2008 Dec 12,5.68
2008 Dec 19,5.72
2008 Dec 26,5.41
2009 Jan 02,5.64
2009 Jan 09,5.88
2009 Jan 16,5.42
2009 Jan 23,4.80
2009 Jan 30,4.74
2009 Feb 06,4.81
2009 Feb 13,4.72
2009 Feb 20,4.34
2009 Feb 27,4.15
2009 Mar 06,4.23
2009 Mar 13,3.89
2009 Mar 20,3.80
2009 Mar 27,4.06
2009 Apr 03,3.62
2009 Apr 10,3.61
2009 Apr 17,3.53
2009 Apr 24,3.45
2009 May 01,3.29
2009 May 08,3.78
2009 May 15,4.24
2009 May 22,3.79
2009 May 29,3.58
2009 Jun 05,3.76
2009 Jun 12,3.53
2009 Jun 19,4.04
2009 Jun 26,3.87
2009 Jul 03,3.68
2009 Jul 10,3.27
2009 Jul 17,3.29
2009 Jul 24,3.50
2009 Jul 31,3.41
2009 Aug 07,3.58
2009 Aug 14,3.39
2009 Aug 21,3.01
2009 Aug 28,2.72
2009 Sep 04,2.18
2009 Sep 11,2.69
2009 Sep 18,3.21
2009 Sep 25,3.46
2009 Oct 02,3.06
2009 Oct 09,3.60
2009 Oct 16,3.93
2009 Oct 23,4.70
2009 Oct 30,4.37
2009 Nov 06,4.28
2009 Nov 13,3.38
2009 Nov 20,3.30
2009 Nov 27,3.52
2009 Dec 04,4.50
2009 Dec 11,5.08
2009 Dec 18,5.61
2009 Dec 25,5.66
2010 Jan 01,5.88
